"country","region","happiness_rank","happiness_score","standard_error","gdp_per_capita","family","life_expectancy","freedom","trust_government","generosity","dystopia_residual","year"
"Finland",NA,1,7.632,NA,1.305,1.592,0.874,0.681,"0.393",0.202,NA,2018
"Norway",NA,2,7.594,NA,1.456,1.582,0.861,0.686,"0.340",0.286,NA,2018
"Denmark",NA,3,7.555,NA,1.351,1.59,0.868,0.683,"0.408",0.284,NA,2018
"Iceland",NA,4,7.495,NA,1.343,1.644,0.914,0.677,"0.138",0.353,NA,2018
"Switzerland",NA,5,7.487,NA,1.42,1.549,0.927,0.66,"0.357",0.256,NA,2018
"Netherlands",NA,6,7.441,NA,1.361,1.488,0.878,0.638,"0.295",0.333,NA,2018
"Canada",NA,7,7.328,NA,1.33,1.532,0.896,0.653,"0.291",0.321,NA,2018
"New Zealand",NA,8,7.324,NA,1.268,1.601,0.876,0.669,"0.389",0.365,NA,2018
"Sweden",NA,9,7.314,NA,1.355,1.501,0.913,0.659,"0.383",0.285,NA,2018
"Australia",NA,10,7.272,NA,1.34,1.573,0.91,0.647,"0.302",0.361,NA,2018
"United Kingdom",NA,11,7.19,NA,1.244,1.433,0.888,0.464,"0.082",0.262,NA,2018
"Austria",NA,12,7.139,NA,1.341,1.504,0.891,0.617,"0.224",0.242,NA,2018
"Costa Rica",NA,13,7.072,NA,1.01,1.459,0.817,0.632,"0.101",0.143,NA,2018
"Ireland",NA,14,6.977,NA,1.448,1.583,0.876,0.614,"0.306",0.307,NA,2018
"Germany",NA,15,6.965,NA,1.34,1.474,0.861,0.586,"0.280",0.273,NA,2018
"Belgium",NA,16,6.927,NA,1.324,1.483,0.894,0.583,"0.240",0.188,NA,2018
"Luxembourg",NA,17,6.91,NA,1.576,1.52,0.896,0.632,"0.321",0.196,NA,2018
"United States",NA,18,6.886,NA,1.398,1.471,0.819,0.547,"0.133",0.291,NA,2018
"United Arab Emirates",NA,20,6.774,NA,2.096,0.776,0.67,0.284,"N/A",0.186,NA,2018
"Czech Republic",NA,21,6.711,NA,1.233,1.489,0.854,0.543,"0.034",0.064,NA,2018
"Malta",NA,22,6.627,NA,1.27,1.525,0.884,0.645,"0.142",0.376,NA,2018
"France",NA,23,6.489,NA,1.293,1.466,0.908,0.52,"0.176",0.098,NA,2018
"Mexico",NA,24,6.488,NA,1.038,1.252,0.761,0.479,"0.095",0.069,NA,2018
"Chile",NA,25,6.476,NA,1.131,1.331,0.808,0.431,"0.061",0.197,NA,2018
