"country","region","happiness_rank","happiness_score","standard_error","gdp_per_capita","family","life_expectancy","freedom","trust_government","generosity","dystopia_residual","year"
"Norway",NA,1,7.53700017929077,NA,7.59444482058287,7.47955553799868,1.61646318435669,1.53352355957031,0.635422587394714,0.796666502952576,NA,2017
"Denmark",NA,2,7.52199983596802,NA,7.58172806486487,7.46227160707116,1.48238301277161,1.55112159252167,0.626006722450256,0.792565524578094,NA,2017
"Iceland",NA,3,7.50400018692017,NA,7.62203047305346,7.38596990078688,1.480633020401,1.6105740070343,0.627162635326385,0.833552122116089,NA,2017
"Switzerland",NA,4,7.49399995803833,NA,7.56177242040634,7.42622749567032,1.56497955322266,1.51691174507141,0.620070576667786,0.858131289482117,NA,2017
"Finland",NA,5,7.4689998626709,NA,7.52754207581282,7.41045764952898,1.44357192516327,1.5402467250824,0.617950856685638,0.80915766954422,NA,2017
"Netherlands",NA,6,7.3769998550415,NA,7.42742584124207,7.32657386884093,1.50394463539124,1.42893922328949,0.585384488105774,0.810696125030518,NA,2017
"Canada",NA,7,7.31599998474121,NA,7.38440283536911,7.24759713411331,1.47920441627502,1.48134899139404,0.611100912094116,0.83455765247345,NA,2017
"New Zealand",NA,8,7.31400012969971,NA,7.3795104418695,7.24848981752992,1.40570604801178,1.54819512367249,0.614062130451202,0.816759705543518,NA,2017
"Sweden",NA,9,7.28399991989136,NA,7.34409487739205,7.22390496239066,1.49438726902008,1.47816216945648,0.612924098968506,0.830875158309937,NA,2017
"Australia",NA,10,7.28399991989136,NA,7.35665122494102,7.2113486148417,1.484414935112,1.51004195213318,0.601607382297516,0.84388679265976,NA,2017
"Costa Rica",NA,12,7.0789999961853,NA,7.16811166629195,6.98988832607865,1.10970628261566,1.41640365123749,0.580131649971008,0.759509265422821,NA,2017
"Austria",NA,13,7.00600004196167,NA,7.07066981211305,6.94133027181029,1.48709726333618,1.4599449634552,0.567766189575195,0.815328419208527,NA,2017
"United States",NA,14,6.99300003051758,NA,7.07465674757957,6.91134331345558,1.54625928401947,1.41992056369781,0.505740523338318,0.77428662776947,NA,2017
"Ireland",NA,15,6.97700023651123,NA,7.04335166752338,6.91064880549908,1.53570663928986,1.55823111534119,0.573110342025757,0.80978262424469,NA,2017
"Germany",NA,16,6.95100021362305,NA,7.00538156926632,6.89661885797977,1.48792338371277,1.47252035140991,0.562511384487152,0.798950731754303,NA,2017
"Belgium",NA,17,6.89099979400635,NA,6.95582075044513,6.82617883756757,1.46378076076508,1.46231269836426,0.539770722389221,0.818091869354248,NA,2017
"Luxembourg",NA,18,6.86299991607666,NA,6.92368609987199,6.80231373228133,1.74194359779358,1.45758366584778,0.59662789106369,0.845089495182037,NA,2017
"United Kingdom",NA,19,6.71400022506714,NA,6.78379176110029,6.64420868903399,1.44163393974304,1.49646008014679,0.508190035820007,0.805335938930511,NA,2017
"Chile",NA,20,6.65199995040894,NA,6.73925056010485,6.56474934071302,1.25278460979462,1.28402495384216,0.376895278692245,0.819479703903198,NA,2017
"United Arab Emirates",NA,21,6.64799976348877,NA,6.72204730376601,6.57395222321153,1.62634336948395,1.26641023159027,0.60834527015686,0.726798236370087,NA,2017
"Brazil",NA,22,6.63500022888184,NA,6.72546950161457,6.5445309561491,1.10735321044922,1.43130600452423,0.437453746795654,0.616552352905273,NA,2017
"Czech Republic",NA,23,6.60900020599365,NA,6.68386246263981,6.5341379493475,1.35268235206604,1.43388521671295,0.490946173667908,0.754444003105164,NA,2017
"Argentina",NA,24,6.59899997711182,NA,6.69008508607745,6.50791486814618,1.18529546260834,1.44045114517212,0.494519203901291,0.695137083530426,NA,2017
"Mexico",NA,25,6.57800006866455,NA,6.67114890769124,6.48485122963786,1.15318381786346,1.210862159729,0.412730008363724,0.709978997707367,NA,2017
"Singapore",NA,26,6.57200002670288,NA,6.63672306910157,6.50727698430419,1.69227766990662,1.35381436347961,0.549840569496155,0.949492394924164,NA,2017
"Malta",NA,27,6.52699995040894,NA,6.59839677289128,6.45560312792659,1.34327983856201,1.48841166496277,0.588767051696777,0.821944236755371,NA,2017
"Uruguay",NA,28,6.4539999961853,NA,6.54590621769428,6.36209377467632,1.21755969524384,1.41222786903381,0.57939225435257,0.719216823577881,NA,2017
"Guatemala",NA,29,6.4539999961853,NA,6.56687397271395,6.34112601965666,0.872001945972443,1.25558519363403,0.531310617923737,0.540239989757538,NA,2017
"Panama",NA,30,6.4520001411438,NA,6.55713071614504,6.34686956614256,1.23374843597412,1.37319254875183,0.550026834011078,0.706156134605408,NA,2017
"France",NA,31,6.44199991226196,NA,6.51576780244708,6.36823202207685,1.43092346191406,1.38777685165405,0.470222115516663,0.844465851783752,NA,2017
"Thailand",NA,32,6.42399978637695,NA,6.50911685571074,6.33888271704316,1.12786877155304,1.42579245567322,0.580200731754303,0.647239029407501,NA,2017
"Taiwan Province of China",NA,33,6.42199993133545,NA,6.49459602192044,6.34940384075046,1.43362653255463,1.38456535339355,0.361466586589813,0.793984234333038,NA,2017
"Spain",NA,34,6.40299987792969,NA,6.4710548453033,6.33494491055608,1.38439786434174,1.53209090232849,0.408781230449677,0.888960599899292,NA,2017
